"u","connectivity","offsets","types","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,2839630480,2839630480,240,1,0,0,0,0
1,2839630480,2839630480,240,1,0.001,0.001,3.125e-06,0
1,2839630480,2839630480,240,1,0.002,0.002,6.25e-06,0
1,2839630480,2839630480,240,1,0.003,0.003,9.375e-06,0
1,146107040,111311440,53,1,0.004,0.004,1.25e-05,0
1,146107040,111311440,53,1,0.005,0.005,1.5625e-05,0
1,146107040,111311440,53,1,0.006,0.006,1.875e-05,0
1,0,0,0,1,0.007,0.007,2.1875e-05,0
1,0,0,0,1,0.008,0.008,2.5e-05,0
1,0,0,0,1,0.009,0.009,2.8125e-05,0
1,0,0,0,1,0.01,0.01,3.125e-05,0
1,0,0,0,1,0.011,0.011,3.4375e-05,0
1,0,0,0,1,0.012,0.012,3.75e-05,0
1,3092376453,4063335,0,1,0.013,0.013,4.0625e-05,0
1,3092376453,4063335,0,1,0.014,0.014,4.375e-05,0
1,3092376453,4063335,0,1,0.015,0.015,4.6875e-05,0
1,0,5046306,0,1,0.016,0.016,5e-05,0
1,0,5046306,0,1,0.017,0.017,5.3125e-05,0
1,0,5046306,0,1,0.018,0.018,5.625e-05,0
1,1232388137,3276846,0,1,0.019,0.019,5.9375e-05,0
1,1232388137,3276846,0,1,0.02,0.02,6.25e-05,0
1,1232388137,3276846,0,1,0.021,0.021,6.5625e-05,0
1,2855849587,3014711,0,1,0.022,0.022,6.875e-05,0
1,2855849587,3014711,0,1,0.023,0.023,7.1875e-05,0
1,2855849587,3014711,0,1,0.024,0.024,7.5e-05,0
1,2,3735624,0,1,0.025,0.025,7.8125e-05,0
1,2,3735624,0,1,0.026,0.026,8.125e-05,0
1,2,3735624,0,1,0.027,0.027,8.4375e-05,0
1,2,3735624,0,1,0.028,0.028,8.75e-05,0
1,945238585,6357041,0,1,0.029,0.029,9.0625e-05,0
1,945238585,6357041,0,1,0.03,0.03,9.375e-05,0
1,945238585,6357041,0,1,0.031,0.031,9.6875e-05,0
1,1601189885,3342385,213,1,0.032,0.032,0.0001,0
1,1601189885,3342385,213,1,0.033,0.033,0.00010312,0
1,1601189885,3342385,213,1,0.034,0.034,0.00010625,0
1,3,3211310,0,1,0.035,0.035,0.00010938,0
1,3,3211310,0,1,0.036,0.036,0.0001125,0
1,3,3211310,0,1,0.037,0.037,0.00011563,0
1,171798691,2883632,0,1,0.038,0.038,0.00011875,0
