"u","connectivity","offsets","types","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,2883634,160,0,1,0.104,0.104,0.0001625,0
1,3538999,144,0,1,0.105,0.105,0.00016406,0
1,3538999,144,0,1,0.106,0.106,0.00016562,0
1,3014707,1836017711,45,1,0.107,0.107,0.00016719,0
1,3276844,1345285729,0,1,0.108,0.108,0.00016875,0
1,3276844,1345285729,0,1,0.109,0.109,0.00017031,0
1,3407922,796095587,1,1,0.11,0.11,0.00017187,0
1,3211308,1852795252,0,1,0.111,0.111,0.00017344,0
1,3211308,1852795252,0,1,0.112,0.112,0.000175,0
1,3473452,1869438834,119,1,0.113,0.113,0.00017656,0
1,3014709,1768714094,0,1,0.114,0.114,0.00017813,0
1,3407922,1667852404,0,1,0.115,0.115,0.00017969,0
1,2883634,1110405733,5,1,0.116,0.116,0.00018125,0
1,2883634,1110405733,5,1,0.117,0.117,0.00018281,0
1,3276846,1953902453,0,1,0.118,0.118,0.00018438,0
1,3342386,796091756,240,1,0.119,0.119,0.00018594,0
1,3342386,796091756,240,1,0.12,0.12,0.0001875,0
1,2883639,1919901556,240,1,0.121,0.121,0.00018906,0
1,2883632,1869508461,0,1,0.122,0.122,0.00019062,0
1,2883632,1869508461,0,1,0.123,0.123,0.00019219,0
1,3276851,1831822185,0,1,0.124,0.124,0.00019375,0
1,3670060,1819242591,0,1,0.125,0.125,0.00019531,0
1,3604526,1985950047,126,1,0.126,0.126,0.00019688,0
1,2097186,842543665,0,1,0.127,0.127,0.00019844,0
1,7602291,808464479,0,1,0.128,0.128,0.0002,0
1,7078009,774911792,12,1,0.129,0.129,0.00020156,0
1,6684706,1465275648,0,1,0.13,0.13,0.00020313,0
1,6684706,1465275648,0,1,0.131,0.131,0.00020469,0
1,3801196,386072608,247,1,0.132,0.132,0.00020625,0
1,3604536,193,18,1,0.133,0.133,0.00020781,0
1,3604536,193,18,1,0.134,0.134,0.00020937,0
1,2228280,110561600,100,1,0.135,0.135,0.00021094,0
1,7340092,87961760,59,1,0.136,0.136,0.0002125,0
1,7340092,87961760,59,1,0.137,0.137,0.00021406,0
1,2097256,135470352,114,1,0.138,0.138,0.00021562,0
1,3997796,0,119,1,0.139,0.139,0.00021719,0
1,5046306,111474240,116,1,0.14,0.14,0.00021875,0
1,3407916,48,60,1,0.141,0.141,0.00022031,0
1,3014704,0,193,1,0.142,0.142,0.00022188,0
1,3473462,144,6,1,0.143,0.143,0.00022344,0
1,3014713,2690032864,240,1,0.144,0.144,0.000225,0
1,3014713,2690032864,240,1,0.145,0.145,0.00022656,0
1,3407916,0,240,1,0.146,0.146,0.00022813,0
1,3473462,0,0,1,0.147,0.147,0.00022969,0
1,3473462,0,0,1,0.148,0.148,0.00023125,0
1,3473454,0,0,1,0.149,0.149,0.00023281,0
1,3604531,52887218,30,1,0.15,0.15,0.00023437,0
1,3604531,52887218,30,1,0.151,0.151,0.00023594,0
1,2883639,0,0,1,0.152,0.152,0.0002375,0
1,3014710,0,0,1,0.153,0.153,0.00023906,0
1,3211317,1,1,1,0.154,0.154,0.00024062,0
1,5439537,110560160,0,1,0.155,0.155,0.00024219,0
1,5439537,110560160,0,1,0.156,0.156,0.00024375,0
1,3538990,110560256,0,1,0.157,0.157,0.00024531,0
1,3211314,0,203,1,0.158,0.158,0.00024687,0
1,3211314,0,203,1,0.159,0.159,0.00024844,0
1,2883637,0,13,1,0.16,0.16,0.00025,0
1,3276844,1,0,1,0.161,0.161,0.00025156,0
1,3276844,1,0,1,0.162,0.162,0.00025313,0
1,3473459,0,0,1,0.163,0.163,0.00025469,0
1,3473452,0,0,1,0.164,0.164,0.00025625,0
1,3014711,0,0,1,0.165,0.165,0.00025781,0
1,3276844,1634299617,0,1,0.166,0.166,0.00025937,0
1,3014708,0,0,1,0.167,0.167,0.00026094,0
1,3342391,1,0,1,0.168,0.168,0.0002625,0
1,3014711,544,240,1,0.169,0.169,0.00026406,0
1,3014711,544,240,1,0.17,0.17,0.00026563,0
1,3342380,96,240,1,0.171,0.171,0.00026719,0
1,3407924,182364512,0,1,0.172,0.172,0.00026875,0
1,3407924,182364512,0,1,0.173,0.173,0.00027031,0
1,2883638,0,0,1,0.174,0.174,0.00027188,0
1,3145780,32525,0,1,0.175,0.175,0.00027344,0
1,3538990,0,30,1,0.176,0.176,0.000275,0
1,3276851,0,0,1,0.177,0.177,0.00027656,0
1,3407916,0,0,1,0.178,0.178,0.00027812,0
1,3014704,52713849,1,1,0.179,0.179,0.00027969,0
1,7143514,0,0,1,0.18,0.18,0.00028125,0
1,2949168,0,0,1,0.181,0.181,0.00028281,0
1,3604529,0,240,1,0.182,0.182,0.00028438,0
1,3014712,0,240,1,0.183,0.183,0.00028594,0
1,3014712,0,240,1,0.184,0.184,0.0002875,0
1,3342386,0,0,1,0.185,0.185,0.00028906,0
1,3670060,0,0,1,0.186,0.186,0.00029063,0
1,3670060,0,0,1,0.187,0.187,0.00029219,0
1,2883638,976,33,1,0.188,0.188,0.00029375,0
1,3604530,0,0,1,0.189,0.189,0.00029531,0
1,3473454,128,0,1,0.19,0.19,0.00029687,0
1,3604526,110561472,4,1,0.191,0.191,0.00029844,0
1,2883638,0,0,1,0.192,0.192,0.0003,0
